Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:75esZBqRjWF97rYGdGVZCI,"Snare Liftoff - I Want To Be One Of The Greats","Whiplash (Original Motion Picture Soundtrack)","J.K. Simmons",2014-10-06,43665,0,false,sartoip888,2020-01-14T09:09:23Z,"musicale","Varese Sarabande",0.675,0.486,5,-11.819,0,0.0514,0.0248,0.655,0.243,0.0347,74.318,1
spotify:track:3bGTRZrWHcx04AmQ3Pb2la,"Overture - From ""Whiplash""","Whiplash (Original Motion Picture Soundtrack)","Justin Hurwitz",2014-10-06,199388,0,false,sartoip888,2020-01-14T09:09:23Z,"","Varese Sarabande",0.506,0.718,5,-9.841,0,0.106,0.117,0.179,0.121,0.684,136.306,3
spotify:track:2CFWGKsv0xrNBP8qBNtX9p,"Too Hip To Retire","Whiplash (Original Motion Picture Soundtrack)","Tim Simonec",2014-10-06,183961,0,false,sartoip888,2020-01-14T09:09:23Z,"jazz,big-band,bebop","Varese Sarabande",0.631,0.372,5,-12.162,0,0.0371,0.296,0.629,0.123,0.723,154.948,3
spotify:track:6lABOtUhsaBW1olzfu6e9C,"Whiplash","Whiplash (Original Motion Picture Soundtrack)","Hank Levy",2014-10-06,115288,0,false,sartoip888,2020-01-14T09:09:23Z,"jazz,big-band","Varese Sarabande",0.591,0.767,5,-4.673,1,0.0633,0.396,0.586,0.265,0.869,107.577,4
spotify:track:5rzma65yLRes78guDAb2VJ,"Fletcher's Song In Club","Whiplash (Original Motion Picture Soundtrack)","Justin Hurwitz",2014-10-06,88956,0,false,sartoip888,2020-01-14T09:09:23Z,"","Varese Sarabande",0.869,0.302,7,-22.706,0,0.112,0.0473,0.975,0.11,0.62,97.997,4
spotify:track:2RzlTcvW7Um8GiTTNWhxcr,"Caravan","Whiplash (Original Motion Picture Soundtrack)","John Wasson",2014-10-06,554889,0,false,sartoip888,2020-01-14T09:09:23Z,"jazz,big-band","Varese Sarabande",0.423,0.748,8,-9.982,1,0.0807,0.00605,0.835,0.0754,0.429,104.054,3
spotify:track:5xqRnQ7d5YsTdelRvEfgnr,"What's Your Name - If You Want The Part, Earn It","Whiplash (Original Motion Picture Soundtrack)","J.K. Simmons",2014-10-06,90497,0,false,sartoip888,2020-01-14T09:09:23Z,"musicale","Varese Sarabande",0.608,0.596,1,-15.347,0,0.384,0.0617,0.0018,0.903,0.119,132.348,5
spotify:track:72XQakLxgqlvenHO3H6Lzu,"Practicing","Whiplash (Original Motion Picture Soundtrack)","Justin Hurwitz",2014-10-06,103218,0,false,sartoip888,2020-01-14T09:09:23Z,"","Varese Sarabande",0.248,0.26,7,-17.743,1,0.0347,0.0215,0.948,0.244,0.034,138.361,4
spotify:track:6ctg6MHx4CSy8hJdSNFUYy,"Invited","Whiplash (Original Motion Picture Soundtrack)","Justin Hurwitz",2014-10-06,54920,0,false,sartoip888,2020-01-14T09:09:23Z,"","Varese Sarabande",0.538,0.265,9,-21.686,0,0.0464,0.606,0.319,0.365,0.62,114.059,3
spotify:track:699cSrmQPsxm9qWN10BnuA,"Call From Dad","Whiplash (Original Motion Picture Soundtrack)","Justin Hurwitz",2014-10-06,40161,0,false,sartoip888,2020-01-14T09:09:23Z,"","Varese Sarabande",0.243,0.00659,6,-21.442,1,0.0431,0.95,0.655,0.0843,0.0346,69.269,4
spotify:track:0vULeRCasFoBCRNPZ8uH1q,"Accident","Whiplash (Original Motion Picture Soundtrack)","Justin Hurwitz",2014-10-06,321968,0,false,sartoip888,2020-01-14T09:09:23Z,"","Varese Sarabande",0.217,0.393,9,-15.658,1,0.0516,0.0652,0.887,0.274,0.0309,130.783,1
spotify:track:1IqsATYLcHCmPcdv9K0nwH,"Hug From Dad","Whiplash (Original Motion Picture Soundtrack)","Justin Hurwitz",2014-10-06,74568,0,false,sartoip888,2020-01-14T09:09:23Z,"","Varese Sarabande",0.495,0.00088,0,-33.068,1,0.0696,0.967,0.958,0.0947,0.0353,93.68,4
spotify:track:5aK019ld6aJZVjAXaoNxfa,"Drum & Drone","Whiplash (Original Motion Picture Soundtrack)","Justin Hurwitz",2014-10-06,94127,0,false,sartoip888,2020-01-14T09:09:23Z,"","Varese Sarabande",0.513,0.615,7,-13.243,1,0.0755,0.0012,0.803,0.105,0.215,112.317,4
