Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4TOMI010Sd4ZAX4aZ5TS85,"Perfect Day","Transformer","Lou Reed",1972-12-01,225000,66,false,sartoip888,2019-11-22T11:21:46Z,"glam rock,proto-punk,art rock","RCA/Legacy",0.4,0.267,10,-12.488,1,0.0323,0.744,0.00734,0.103,0.0872,144.799,3
spotify:track:15BQ7vEDv2LJuh8TxWIhtd,"The Passenger","Lust For Life","Iggy Pop",1977-08-29,283360,72,false,sartoip888,2019-11-22T11:49:06Z,"proto-punk,glam rock","Virgin Catalog",0.498,0.889,0,-5.413,1,0.0544,0.0937,0.00000162,0.734,0.696,134.882,4
spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black","Aftermath","The Rolling Stones",1966-04-15,202266,82,false,sartoip888,2019-11-22T11:58:34Z,"rock klasyczny,rock","ABKCO Music and Records, Inc.",0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,4
spotify:track:4vpeKl0vMGdAXpZiQB2Dtd,"White Rabbit","Surrealistic Pillow","Jefferson Airplane",1967,150640,68,false,sartoip888,2019-11-22T11:56:23Z,"rock psychodeliczny,acid rock","RCA/BMG Heritage",0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,4
spotify:track:1i6N76fftMZhijOzFQ5ZtL,"Psycho Killer - 2005 Remaster","Talking Heads '77 (Deluxe Version)","Talking Heads",1977-09-16,261413,66,false,sartoip888,2019-11-22T11:46:23Z,"nowa fala,post-punk","Rhino/Warner Records",0.721,0.521,2,-8.123,1,0.0613,0.0708,0.00545,0.127,0.942,123.118,4
spotify:track:1Ud6moTC0KyXMq1Oxfien0,"Sympathy For The Devil - 50th Anniversary Edition","Beggars Banquet (50th Anniversary Edition)","The Rolling Stones",1968-12-06,378146,73,false,sartoip888,2019-11-22T11:53:41Z,"rock klasyczny,rock","ABKCO Music & Records",0.703,0.668,9,-9.237,1,0.22,0.516,0,0.0588,0.561,116.039,4
spotify:track:2YkQuh1bijWzQJie9KfFQi,"Place To Be","Pink Moon","Nick Drake",1972-02-25,161293,0,false,sartoip888,2019-11-22T11:49:43Z,"folk,wokaliści i autorzy piosenek","Universal-Island Records Ltd.",0.342,0.224,5,-16.362,1,0.0357,0.872,0.163,0.109,0.404,53.477,4
spotify:track:6HSXNV0b4M4cLJ7ljgVVeh,"Knockin' On Heaven's Door","Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture)","Bob Dylan",1973-07-13,149880,82,false,sartoip888,2019-11-22T11:54:34Z,"folk rock,folk,wokaliści i autorzy piosenek,roots rock,country rock","Columbia/Legacy",0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,4
spotify:track:18GiV1BaXzPVYpp9rmOg0E,"Blowin' in the Wind","The Freewheelin' Bob Dylan","Bob Dylan",1963-05-27,165426,70,false,sartoip888,2019-11-22T12:10:41Z,"folk rock,folk,wokaliści i autorzy piosenek,roots rock,country rock","Columbia",0.38,0.0993,2,-20.567,1,0.0509,0.914,0.0000232,0.0605,0.44,174.874,4
spotify:track:3AhXZa8sUQht0UEdBJgpGc,"Like a Rolling Stone","Highway 61 Revisited","Bob Dylan",1965-08-30,369600,75,false,sartoip888,2019-11-22T12:10:28Z,"folk rock,folk,wokaliści i autorzy piosenek,roots rock,country rock","Columbia",0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,4
