Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2VUo8O3ymKRYNgj97ZG2kM,"Unsquare Dance","Time Further Out","The Dave Brubeck Quartet",1961,119866,50,false,sartoip888,2019-01-23T14:21:36Z,"jazz,cool jazz","Legacy/Columbia",0.65,0.496,7,-13.869,1,0.115,0.0723,0.88,0.119,0.615,116.868,4
spotify:track:6iklmolQDQ8L76PgIMK5tG,"Ain't Misbehavin'","At The Piano (Bluebird's Best Series)","Fats Waller",2002-05-21,238693,35,false,sartoip888,2019-01-23T14:33:22Z,"swing,ragtime,big-band,jazz","RCA Bluebird",0.509,0.244,0,-16.952,0,0.0443,0.845,0.00176,0.196,0.398,97.352,4
spotify:track:5U16EPfaojTZnFpY5LaGNk,"Alexander's Ragtime Band","The Genius Of Ray Charles","Ray Charles",1959,174440,29,false,sartoip888,2019-01-23T14:33:38Z,"jazz blues,soul,soul blues,blues,klasyczny soul,jazz wokalny","Rhino Atlantic",0.367,0.625,8,-10.086,1,0.109,0.397,0,0.217,0.798,150.885,4
spotify:track:1Lh7U5c3EvLBb6lSgHVFlR,"All the Things You Are","All the Things You Are","Charlie Parker",2002-03-01,170626,46,false,sartoip888,2019-01-23T14:33:52Z,"bebop,jazz,hard bop,cool jazz,jazz blues","Classic Themes",0.594,0.115,8,-14.916,1,0.044,0.99,0.853,0.107,0.456,126.902,4
spotify:track:2iUrcZcAuVIahQD0dg9HLe,"Autumn Leaves","My Funny Valentine: The Best Of Chet Baker","Chet Baker",2010-04-23,423573,54,false,sartoip888,2019-01-23T14:34:05Z,"jazz,cool jazz,jazz wokalny","Sony Music Entertainment",0.496,0.634,5,-10.328,0,0.0364,0.779,0.402,0.0746,0.606,93.357,4
spotify:track:2RzlTcvW7Um8GiTTNWhxcr,"Caravan","Whiplash (Original Motion Picture Soundtrack)","John Wasson",2014-10-06,554889,0,false,sartoip888,2019-01-23T14:34:46Z,"jazz,big-band","Varese Sarabande",0.423,0.748,8,-9.982,1,0.0807,0.00605,0.835,0.0754,0.429,104.054,3
spotify:track:1LMVUnMHb75cFbR2oP1CiQ,"Ev'ry Time We Say Goodbye","The Very Best Of Julie London","Julie London;Bud Shank Quintet",2006-01-01,263640,0,false,sartoip888,2019-01-23T14:35:04Z,"jazz wokalny,jazz,adult standards,cool jazz","Capitol Records",0.411,0.0683,7,-19.805,0,0.0389,0.927,0.000228,0.116,0.0797,138.634,3
spotify:track:5b7OgznPJJr1vHNYGyvxau,"Fly Me To The Moon (In Other Words)","Sinatra/Basie: The Complete Reprise Studio Recordings","Frank Sinatra;Count Basie",1962-12-10,147000,72,false,sartoip888,2019-01-23T14:35:19Z,"boże narodzenie,big-band,adult standards,swing,jazz,jazz wokalny","FRANK SINATRA DIGITAL REPRISE",0.668,0.26,7,-14.256,1,0.0523,0.453,0,0.0621,0.368,119.416,4
spotify:track:5OXTfz1jZqJG2qiJKWNOhg,"Get Happy - Remastered 1998","Swing Easy!","Frank Sinatra",1954-01-01,143289,27,false,sartoip888,2019-01-23T14:35:34Z,"boże narodzenie,big-band,adult standards,swing,jazz,jazz wokalny","CAPITOL CATALOG MKT (C92)",0.669,0.351,0,-9.592,1,0.145,0.622,0,0.134,0.798,88.308,4
spotify:track:1ko2lVN0vKGUl9zrU0qSlT,"Just the Two of Us (feat. Bill Withers)","Anthology","Grover Washington, Jr.;Bill Withers",1985,438493,73,false,sartoip888,2019-01-23T14:36:09Z,"soul jazz,smooth jazz,soul,klasyczny soul,motown","Rhino/Elektra",0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,4
spotify:track:1MGlEkaCYvWvJua6MpKVyl,"Makin' Whoopee - Take 2 / Complete Alternate Take","Pops Is Tops: The Verve Studio Albums","Louis Armstrong;Oscar Peterson",2018-04-13,257959,10,false,sartoip888,2019-01-23T14:50:13Z,"jazz,swing,big-band,jazz wokalny,jazz blues,cool jazz,bebop","Verve Reissues",0.48,0.16,5,-16.13,0,0.171,0.795,0,0.161,0.339,73.415,3
spotify:track:1Ff2GL00mL2b4LfmMDX5dS,"The Man I Love - Unplugged","Until The Next Journey","Hindi Zahra",2009,198800,0,false,sartoip888,2019-01-23T14:50:30Z,"tango","Parlophone (France)",0.686,0.521,0,-8.415,1,0.037,0.841,0.00155,0.182,0.471,124.782,4
spotify:track:4AE032Y0x1WPOi5CsmggnU,"Maple Leaf Rag","Joplin: Piano Rags, Vol. 1","Scott Joplin;Alexander Peskanov",2004-07-28,189906,43,false,sartoip888,2019-01-23T14:50:48Z,"ragtime,fortepian klasyczny","Naxos",0.406,0.226,8,-22.866,1,0.0477,0.991,0.882,0.245,0.937,116.267,4
spotify:track:2JOJBxwRHWYcdXiOxZmoFv,"Minnie the Moocher (Theme Song)","Best Of The Big Bands","Cab Calloway",1989,194133,40,false,sartoip888,2019-01-23T14:51:03Z,"big-band,swing,jazz blues,ragtime","Columbia",0.517,0.322,0,-12.694,1,0.124,0.848,0,0.71,0.451,97.001,4
spotify:track:0NDjQezJaEC1KX9TfwEfzf,"Minor Swing","Djangologie Vol6 / 1937","Django Reinhardt;Stéphane Grappelli;Quintette du Hot Club de France",1970,196626,50,false,sartoip888,2019-01-23T14:51:31Z,"swing,jazz,francuski jazz,ragtime,big-band","Parlophone (France)",0.58,0.47,9,-8.787,0,0.168,0.933,0.743,0.098,0.738,202.376,4
