Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0lPpD2QNr80XP3ycKnTAIM,"Blue Wire","Manzanita","Assemble Head In Sunburst Sound",2012-06-19,402026,0,false,sartoip888,2021-12-03T10:39:47Z,"space rock,stoner rock,neo-psychodelia,rock psychodeliczny,stoner metal,acid rock,drone metal,sludge metal","Tee Pee Records",0.293,0.724,9,-8.549,0,0.0312,0.355,0.912,0.1,0.592,113.729,3
spotify:track:038gKq7MYQFa20Q7MdHySX,"Waves","Naxatras","Naxatras",2015-04-26,440014,40,false,sartoip888,2020-10-30T20:19:13Z,"stoner rock,space rock,rock psychodeliczny,neo-psychodelia,stoner metal,acid rock,sludge metal","Naxatras",0.328,0.49,9,-13.683,0,0.0308,0.768,0.836,0.186,0.244,155.448,4
spotify:track:3HcKQYkKahxFRGLdQ8xT9K,"I Am the Beyonder","Naxatras","Naxatras",2015-04-26,636458,32,false,sartoip888,2021-12-03T09:19:34Z,"stoner rock,space rock,rock psychodeliczny,neo-psychodelia,stoner metal,acid rock,sludge metal","Naxatras",0.357,0.432,2,-13.7,1,0.0375,0.446,0.869,0.173,0.101,129.677,4
spotify:track:5fnfq1FeOmY938E9cAGlA6,"Little Sun","Blues Pills","Blues Pills",2014-07-25,290920,41,false,sartoip888,2021-12-03T09:00:47Z,"stoner rock,blues rock,stoner metal","Nuclear Blast",0.437,0.458,7,-7.651,0,0.0341,0.285,0.00349,0.0906,0.319,126.818,4
spotify:track:3LuR5iyEHjVHARf9ujUlKy,"High Class Woman","Blues Pills","Blues Pills",2014-07-25,268640,37,false,sartoip888,2021-12-03T09:09:11Z,"stoner rock,blues rock,stoner metal","Nuclear Blast",0.566,0.803,2,-5.883,0,0.0566,0.176,0.00057,0.115,0.197,107.218,4
spotify:track:06GMFLjz0xowyKlmTbJyHZ,"The Rat Catcher","Reap the Storm","Wucan",2017-09-29,325015,31,false,sartoip888,2021-12-03T09:16:41Z,"neo-psychodelia,stoner rock,stoner metal,rock psychodeliczny","Haensel & Gretel",0.6,0.777,9,-10.12,0,0.0623,0.217,0.0162,0.104,0.314,142.2,4
spotify:track:0rcPndUU07j3PkRaGEnqQK,"Journey to Narahmon","Journey to Narahmon","Naxatras",2021-11-26,366532,7,false,sartoip888,2021-12-03T09:30:12Z,"stoner rock,space rock,rock psychodeliczny,neo-psychodelia,stoner metal,acid rock,sludge metal","Naxatras",0.325,0.742,2,-7.778,1,0.0468,0.0246,0.912,0.0725,0.142,120.977,4
spotify:track:1uHb76qp4MDxoLXfYmFDzK,"Space Tunnel","Naxatras","Naxatras",2015-04-26,371013,29,false,sartoip888,2021-12-03T09:38:34Z,"stoner rock,space rock,rock psychodeliczny,neo-psychodelia,stoner metal,acid rock,sludge metal","Naxatras",0.668,0.304,4,-15.817,0,0.0356,0.836,0.733,0.103,0.368,110.151,4
spotify:track:1e1IiUItCGhp8LvU8aZ213,"I'm the Mountain","Seven Thunders Roar","Stoned Jesus",2012-03-12,961942,0,false,sartoip888,2021-12-03T10:01:02Z,"stoner rock,stoner metal,sludge metal,doom metal,space rock,rock psychodeliczny","Moon Vinyl s.r.o.",0.395,0.396,8,-11.641,1,0.0281,0.0102,0.161,0.126,0.0656,136.391,4
spotify:track:2LwM4JgvJ3SiIaQOIXJT6n,"Rasayana","A New Day Dawning","Siena Root",2004-05-31,540684,0,false,sartoip888,2021-12-03T10:26:36Z,"stoner rock,space rock,neo-psychodelia,rock psychodeliczny,stoner metal,sludge metal","Root Rock Records",0.426,0.52,6,-9.593,1,0.0405,0.348,0.624,0.0743,0.203,137.89,4
spotify:track:2hRJ0RcQAwxvrApfvFODaB,"Love","Colour Haze","Colour Haze;Stefan Koglek",2005,560066,32,false,sartoip888,2021-12-03T10:31:05Z,"stoner rock,space rock,stoner metal,rock psychodeliczny,sludge metal,krautrock,acid rock,doom metal,neo-psychodelia","electrohasch",0.365,0.378,0,-10.621,0,0.0372,0.398,0.85,0.112,0.413,114.511,4
spotify:track:2VaNHd2jzFDiX5zNZPBlch,"We: We Are Them","Different Realities","Siena Root",2009-10-13,636303,0,false,sartoip888,2021-12-03T10:46:21Z,"stoner rock,space rock,neo-psychodelia,rock psychodeliczny,stoner metal,sludge metal","Root Rock Records",0.354,0.59,4,-6.109,0,0.0367,0.106,0.168,0.104,0.239,101.939,3
spotify:track:0GHRVjxxKDpFBHKMfoTiQ2,"Vidage","Super Van Vacation","1000mods",2011-09-29,528111,0,false,sartoip888,2021-12-03T11:05:09Z,"stoner rock,stoner metal,space rock,sludge metal,rock psychodeliczny,doom metal","Catch the Soap Productions",0.416,0.722,5,-7.746,1,0.0379,0.00821,0.789,0.138,0.305,119.018,4
spotify:track:0VSkI10J3axYVpyWXppjHl,"Pale Moon","III","Asteroid",2016-11-11,372330,0,false,sartoip888,2021-12-03T11:24:27Z,"stoner rock,stoner metal,space rock,sludge metal,rock psychodeliczny,doom metal","Fuzzorama Records",0.383,0.721,10,-6.584,1,0.0402,0.0000691,0.88,0.877,0.324,126.167,4
spotify:track:6s5BwPPzz4bdY5aUHWzqAE,"Aquamaria","Tempel","Colour Haze",2006,526293,37,false,sartoip888,2021-12-03T12:11:19Z,"stoner rock,space rock,stoner metal,rock psychodeliczny,sludge metal,krautrock,acid rock,doom metal,neo-psychodelia","electrohasch",0.341,0.527,5,-11.066,1,0.0301,0.746,0.889,0.0988,0.505,98.193,4
spotify:track:3Bf8zPuxHM2d6n9yXqCQg0,"Lay With Me","Bad Blood & Winter","The Flying Eyes",2009-04-04,347852,32,false,sartoip888,2021-12-03T13:02:25Z,"stoner rock,rock psychodeliczny,space rock,stoner metal,neo-psychodelia,blues rock,sludge metal,acid rock","Fuego",0.288,0.782,4,-3.566,0,0.0345,0.182,0.000422,0.157,0.318,141.564,4
spotify:track:6w3bIc0BxTPGNHqyH4KNiY,"Three King Fishers","Bacchanal","Gábor Szabó;Jim Stewart;Hal Gordon;Jimmy Keltner;Louis Kabok",1968,288826,39,false,sartoip888,2021-12-03T13:49:00Z,"neo-psychodelia","Skye Records",0.499,0.49,11,-11.609,0,0.0377,0.497,0.855,0.101,0.217,140.169,4
spotify:track:2EFuKYBalAcplMyUVL3BDH,"Maria También","Con Todo El Mundo","Khruangbin",2018-01-26,190999,0,false,sartoip888,2021-12-03T14:35:06Z,"neo-psychodelia","Late Night Tales",0.746,0.632,6,-7.32,0,0.0462,0.00252,0.859,0.542,0.858,103.612,4
spotify:track:0jE2HYDc22ujaaXeWfgRx3,"İsyan Manifestosu","Yort Savul: İSYAN MANİFESTOSU!","Gaye Su Akyol",2020-10-30,286000,18,false,sartoip888,2021-12-03T15:15:37Z,"anatolijski rock","Glitterbeat Records",0.602,0.711,5,-9.887,0,0.0438,0.166,0.0403,0.1,0.646,121.875,4
spotify:track:5RDLAg3zVPTlsmOlKNNGf9,"Crime em Tânger","Crime em Tânger","Rapaz Ego",2021-05-07,269529,16,false,sartoip888,2021-12-03T15:26:52Z,"neo-psychodelia","Cuca Monga",0.472,0.661,5,-7.384,0,0.0494,0.223,0.0324,0.101,0.574,91.929,4
spotify:track:6BkeuHmO4P69Ln2BSonrXi,"Jumpin' Jack Flash","Ananda Shankar (US Internet Release)","Ananda Shankar",1970,215866,38,false,sartoip888,2021-12-03T15:47:28Z,"neo-psychodelia","Rhino/Warner Records",0.523,0.722,6,-6.533,1,0.0307,0.074,0.00336,0.122,0.506,129.424,4
spotify:track:3IroBaDGAzIty2iPEdVX1F,"Plea From The Soul","Overdrive","Phafner",2010-08-23,329693,32,false,sartoip888,2021-12-03T16:04:16Z,"neo-psychodelia,rock psychodeliczny,acid rock,stoner rock","Akarma",0.457,0.546,7,-10.836,0,0.0434,0.952,0.264,0.118,0.382,113.591,4
spotify:track:0AMWwBYxbWI8D0E1FFwmWP,"Indian Zone Drum Killer Inc.","Turk Jerk","Tandy Love",2011-03-21,205160,22,false,sartoip888,2021-12-03T16:08:25Z,"neo-psychodelia,rock psychodeliczny,anatolijski rock","Fat City",0.326,0.771,5,-9.388,0,0.043,0.0215,0.383,0.113,0.89,165.669,4
spotify:track:4sIzOxFgdxbYmrjkoBTQdn,"Level 1","Nymphaea Caerulea EP","Al Lover;Caïro Liberation Front",2017-03-31,196054,0,false,sartoip888,2021-12-03T16:13:32Z,"neo-psychodelia,space rock,rock psychodeliczny,krautrock","Höga Nord Rekords",0.393,0.792,7,-6.796,0,0.0368,0.0000093,0.769,0.0994,0.292,156.627,4
spotify:track:320XdDHRfX7RwAfgJLI9Cy,"Barbarian Kings","Morgan Delt","Morgan Delt",2014-01-27,233059,0,false,sartoip888,2021-12-03T16:43:46Z,"neo-psychodelia,rock psychodeliczny,space rock","Trouble In Mind Records",0.331,0.788,7,-5.893,0,0.0354,0.0572,0.0000909,0.378,0.283,86.937,4
spotify:track:6x4gyJlPYr3C4hROTubXvh,"Drop Out","Gnod Drop Out With White Hills II","Gnod;White Hills",2010-05-10,661120,26,false,sartoip888,2021-12-03T16:50:40Z,"noise rock,space rock,neo-psychodelia,krautrock,rock psychodeliczny,drone,stoner rock,acid rock","Rocket Recordings",0.485,0.743,9,-9.633,1,0.0326,0.0067,0.949,0.077,0.404,131.283,4
spotify:track:0dUmodeLcQowf3YZAdOoTW,"Shimmer and Disappear","Across The Meridian","Pram",2018-07-20,195346,20,false,sartoip888,2021-12-03T17:00:26Z,"neo-psychodelia,post-rock,art pop","Domino Recording Co",0.539,0.849,10,-7.963,0,0.0911,0.185,0.905,0.089,0.46,120.092,4
spotify:track:7ISLcmRNfvsEAZnuARKJUT,"Todo Bien","La Antillana: Sancocho Stereo, Capítulo 3","Los Espiritus",2020-11-06,272780,0,false,sartoip888,2021-12-03T17:24:01Z,"latynoskie indie,argentyński rock,latynoski rock,latynoska muzyka alternatywna,neo-psychodelia","Alto Valle",0.578,0.799,0,-10.465,1,0.0268,0.108,0.0844,0.33,0.669,95.503,4
spotify:track:7yfnGnzEDtVKNNNnLC2dLK,"Toda Pessoa","Fumaça Preta","Fumaça Preta",2014-09-15,159513,0,false,sartoip888,2021-12-03T17:26:00Z,"neo-psychodelia,space rock,rock psychodeliczny","Soundway Records",0.729,0.8,9,-9.368,1,0.0384,0.231,0.122,0.0838,0.973,154.129,4
spotify:track:2ySH9aIYwDlTWNgDs8BKAt,"Borrón enchufe","Pregón","Les conches velasques",2018-02-09,235837,0,false,sartoip888,2021-12-03T17:42:40Z,"neo-psychodelia,rock psychodeliczny","Repetidor",0.492,0.478,6,-6.104,1,0.0341,0.334,0.862,0.106,0.251,133.135,3
