Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Cvq32eFRTfEZrXU3znpWd,"Awareness","Shimmer","Kalya Scintilla",2011-04-12,360321,0,false,sartoip888,2019-02-12T11:01:51Z,"glitch,downtempo","Addictech Records",0.737,0.661,1,-10.553,1,0.0581,0.0415,0.212,0.28,0.282,140.011,4
spotify:track:6kWKJgPlQnLKCeKX8KVrE3,"Yatram - Kaya Project Remix","Open Ancient Eyes (Remixed)","Kalya Scintilla;Kaya Project",2017-07-11,418957,8,false,sartoip888,2019-02-12T11:02:09Z,"glitch,downtempo","Merkaba Music",0.601,0.617,1,-9.723,0,0.0396,0.089,0.252,0.241,0.443,97.978,4
spotify:track:35paNBH84zGk9PtpL2kWo0,"Hara","Mantra","Jean du Voyage",2016-10-21,194887,45,false,sartoip888,2019-02-12T11:02:11Z,"","Jarring Effects",0.573,0.473,7,-12.535,1,0.0321,0.509,0.903,0.0971,0.0392,132.913,4
spotify:track:6zwuoBtcHP9Z5L55d5Li2C,"Karangailyg Kara Hovaa","""The Ways of Nomad"" The Best","Yat-Kha",2011-01-01,189200,12,false,sartoip888,2019-02-12T11:02:13Z,"muzyka tradycyjna","Sketis Music",0.414,0.611,1,-8.602,0,0.0335,0.227,0.0473,0.143,0.542,134.087,4
spotify:track:5Mlr5WYdyRjTAB4etYBHDa,"A Tribe Called Kotori","The Arc of Tension","Oliver Koletzki",2017-05-19,370453,0,false,sartoip888,2019-02-12T11:06:14Z,"organic house,minimal techno,melodyjne techno","Stil Vor Talent Records",0.627,0.496,5,-11.866,0,0.0396,0.71,0.831,0.343,0.0801,95,4
spotify:track:51U7HIK99E6G6OrpU1oYEq,"(The Forgotten People)","Radio Retaliation","Thievery Corporation",2008-09-23,190906,0,false,sartoip888,2019-02-12T11:18:33Z,"trip hop,downtempo,acid jazz,lounge,nu jazz","Primary Wave/ESL",0.712,0.814,7,-6.099,1,0.0718,0.0166,0.853,0.0508,0.644,97.537,4
spotify:track:3exminmsbdqZKm1mdFrLOp,"Sugar Rhyme","Animal Magic","Bonobo",2000-07-25,287066,34,false,sartoip888,2019-02-12T11:18:40Z,"trip hop,downtempo,nu jazz,muzyka elektroniczna","Tru Thoughts",0.678,0.424,10,-11.619,1,0.0286,0.21,0.873,0.113,0.421,90.974,4
spotify:track:00qenE0KcVFh36T9JKhWG2,"Tankwa Town - Niko Schwind Remix","The Arc of Tension Remixed I","Oliver Koletzki;Niko Schwind",2017-10-13,435797,19,false,sartoip888,2019-02-12T11:27:56Z,"organic house,minimal techno,melodyjne techno","Stil Vor Talent Records",0.751,0.73,10,-7.51,0,0.0447,0.00944,0.736,0.64,0.46,108.005,4
spotify:track:4Z3OwgCBz6bsX24PJnhzy6,"Daughters of the Sun","Rubedo - EP","Drumspyder",2010-10-27,380514,10,false,sartoip888,2019-02-12T11:36:47Z,"","Drumspyder",0.554,0.853,7,-6.503,1,0.062,0.182,0.898,0.144,0.718,113.341,5
spotify:track:3vc7vVDMQtcQ2bFMURz7pp,"Kopru Ortas","Vooloo","Jacob Groening",2017-09-01,374666,0,false,sartoip888,2019-02-12T11:58:34Z,"tribal house,organic house,downtempo","Voll Schoen",0.697,0.427,10,-10.618,1,0.0672,0.0827,0.0032,0.182,0.168,89.976,4
spotify:track:7brM6w3G5IXat1S1yzOKMV,"Chai Corner","Reaching Rujum","Timboletti",2017-07-17,456100,8,false,sartoip888,2019-02-12T12:09:06Z,"tribal house,organic house,downtempo","Copycow",0.824,0.435,5,-11.485,0,0.0757,0.0148,0.824,0.0618,0.536,119.997,4
spotify:track:06ihxcHC90rPqkkColGWYk,"Old Chap - Billy Caso's Pineapple Remix","Tal der Verwirrung EP","Ninze;BC",2016-07-18,426666,33,false,sartoip888,2019-02-12T12:18:20Z,"downtempo,organic house,tribal house","Tal der Verwirrung",0.727,0.64,5,-8.809,1,0.0363,0.38,0.744,0.655,0.0874,89.995,4
spotify:track:4FzUCZYARnbjUHTusF8Ojd,"Guru Brahma","Yoga Flow Mix 1 - JALA","Shaman's Dream",2010-04-27,522640,0,false,sartoip888,2019-02-12T12:25:30Z,"","Yogitunes",0.397,0.0473,9,-23.101,1,0.0337,0.735,0.289,0.294,0.078,113.568,4
spotify:track:57Xvgypj0JSo0E5IvnKGgP,"El-Hadra","Sacred Planet (From women & man to gods & godnesses)","Klaus Wiese;Ted De Jong",1998,237360,36,false,sartoip888,2019-02-12T12:38:25Z,"new age,dark ambient","Amiata Records",0.371,0.0587,2,-27.743,0,0.032,0.829,0.89,0.109,0.12,97.594,4
spotify:track:75k4e8zCOUqgk2GoSsLIne,"Cecom","Ruhani Oyun Havaları","Baba Zula;Mad Professor;Brenna MacCrimmon",2003-08-13,315306,25,false,sartoip888,2019-02-12T12:38:27Z,"anatolijski rock,dub,reggae,roots reggae,electrocumbia,oyun havasi","Doublemoon Records",0.6,0.2,0,-19.25,1,0.0617,0.863,0.0000892,0.362,0.332,121.185,4
