Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2SCLswvRP8hAYdIKsrLV6h,"The Finishing","The Ginning","Stavroz",2015-09-28,482983,58,false,sartoip888,2020-07-02T10:18:44Z,"organic house,downtempo","Delicieuse Records",0.773,0.377,9,-12.653,1,0.0455,0.655,0.829,0.122,0.0363,119.975,4
spotify:track:6DavBhAYS1lUdVLjJgMbib,"Breakfast in the Hut","Breakfast in the Hut","Crussen",2016-08-26,494761,31,false,sartoip888,2020-07-02T10:36:29Z,"downtempo","Underyourskin Records",0.728,0.497,1,-11.322,1,0.0437,0.0414,0.825,0.0946,0.443,102.012,4
spotify:track:4qRVBnYIf6fMIsImHrZlID,"A Golden Rush","The Spell / A Golden Rush","David August;Nelia Kit",2016-11-04,441888,0,false,sartoip888,2020-07-02T10:54:52Z,"minimal techno","Counter Records",0.633,0.542,6,-11.475,0,0.0461,0.29,0.772,0.233,0.0597,106.003,4
spotify:track:04mSsVplz9qGhc4JQz2YTj,"Ege","General Tales of Ordinary Madness","Oceanvs Orientalis;İdil Meşe",2017-11-02,369661,31,false,sartoip888,2020-07-02T11:04:20Z,"organic house,tribal house,downtempo","Kanto Records",0.717,0.655,5,-10.731,0,0.0331,0.276,0.856,0.107,0.649,95.037,4
spotify:track:026ltHJFIkssDPbXbfgOcS,"Blue Moon","Mantra","Jean du Voyage;Djéla;Pierre Harmegnies",2016-10-21,359580,38,false,sartoip888,2020-07-02T14:50:59Z,"","Jarring Effects",0.797,0.331,9,-13.505,0,0.044,0.444,0.00676,0.112,0.0543,120.025,4
spotify:track:3GZvy4B0ZzMjoDezkiDekS,"Pompidou","Knee-Deep In the North Sea","Portico Quartet",2007,193066,47,false,sartoip888,2020-07-09T09:45:18Z,"nu jazz","Real World Records",0.389,0.178,0,-13.067,0,0.0306,0.975,0.966,0.159,0.359,171.682,3
spotify:track:6te1QldCR1BWiNgwZADpu4,"A1","Darkside","DARKSIDE",2011-11-17,358636,0,false,sartoip888,2020-07-09T09:52:01Z,"downtempo","Clown and Sunset",0.718,0.287,11,-12.835,0,0.181,0.489,0.836,0.0995,0.118,176.112,4
spotify:track:5EzGOkUwkRUXYAyvjlEHah,"True Sorry","Illusions","Ibrahim Maalouf",2013-11-05,291303,52,false,sartoip888,2020-07-09T09:54:11Z,"francuski jazz,jazz","Mi'ster",0.288,0.454,4,-7.639,0,0.0369,0.585,0.882,0.177,0.0792,123.143,4
spotify:track:11QJy1kXu8yzmAXrKcxtU4,"The Blues","Homeland","Hindi Zahra",2015-04-13,233626,0,false,sartoip888,2020-07-09T10:04:01Z,"tango","Parlophone (France)",0.57,0.549,1,-7.845,0,0.0257,0.374,0.258,0.116,0.523,139.996,4
spotify:track:0RWDbR1CJD4NKRxSQQyu8s,"Ocean Tree","Bulbo","FEATHERED SUN;Jo.Ke;Raz Ohara;Johannes Laumer;Christopher Schwarzwälder;Nu",2016-05-13,591492,39,false,sartoip888,2020-07-09T10:07:30Z,"downtempo,organic house,idm","Platon Records",0.833,0.209,1,-11.728,1,0.098,0.756,0.874,0.108,0.38,160.065,4
