Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2wC0qK8JN6gblb0ZJzE2d9,"Hell Is Round The Corner","Maxinquaye (Deluxe Edition)","Tricky;Martina Topley-Bird",1995,227066,56,false,sartoip888,2022-06-13T14:30:35Z,"trip hop,downtempo","UMC (Universal Music Catalogue)",0.574,0.539,0,-12.273,1,0.177,0.336,0.00515,0.196,0.507,119.94,4
spotify:track:7vxl3vjT9mLxFc9HSyaR28,"Past Mistake","Knowle West Boy","Tricky",2008-07-09,309320,18,false,sartoip888,2022-06-13T13:40:40Z,"trip hop,downtempo","Domino Recording Co",0.29,0.808,10,-5.365,1,0.223,0.173,0.134,0.402,0.241,125.475,4
spotify:track:1sHoqPtMfaZML6P77Q586a,"Drop the Other","Emika","Emika",2011-10-03,208453,0,false,sartoip888,2022-06-13T13:45:31Z,"trip hop","Ninja Tune",0.78,0.332,9,-13.138,1,0.163,0.0818,0.541,0.0809,0.117,140.088,4
spotify:track:5AEiZHJHBawkYZKyOq7B7y,"Professional Loving","Emika","Emika",2011-10-03,227640,0,false,sartoip888,2022-06-13T13:51:58Z,"trip hop","Ninja Tune",0.86,0.146,2,-16.68,1,0.0529,0.256,0.621,0.105,0.0757,120.008,4
spotify:track:4cPoVU81u5IrFwDNZzmKUg,"Plastic Stress","Close The Door","Terranova",2006-12-13,276652,0,false,sartoip888,2022-06-13T13:00:42Z,"trip hop,downtempo","Copasetik Recordings",0.692,0.514,7,-9.212,1,0.0545,0.0878,0.789,0.399,0.258,121.975,4
spotify:track:2qOE7SDsMTqCUmqPbYkDDt,"Spring to Kingdom Come","Morning Star","Flunk",2004-04-27,301146,23,false,sartoip888,2022-06-13T13:07:17Z,"trip hop,downtempo","Beatservice Records",0.636,0.553,3,-9.667,0,0.028,0.242,0.489,0.0826,0.484,120.579,4
spotify:track:4TpsQWUmkbupdxGUIvxw0O,"Sand River","Out Of Season","Beth Gibbons;Rustin Man",2002-01-01,228973,42,false,sartoip888,2022-06-13T13:13:38Z,"trip hop","Universal-Island Records Ltd.",0.495,0.25,10,-16.407,0,0.0363,0.887,0.289,0.112,0.172,145.01,4
spotify:track:6qt0nHVxcK2hLFNgY17woU,"Bermuda","Risotto","Fluke",1997-01-01,477226,24,false,sartoip888,2022-06-13T13:26:24Z,"big beat,breakbeat","Circa",0.682,0.506,2,-12.482,1,0.0384,0.037,0.69,0.08,0.135,139.974,4
spotify:track:65zyoqX5w0YtgnDFnb0zKQ,"Letting Go","Beyond Skin","Nitin Sawhney",1999-06-21,291066,27,false,sartoip888,2022-06-13T13:39:00Z,"trip hop","Outcaste Records",0.543,0.386,4,-12.869,0,0.032,0.352,0.00217,0.471,0.125,169.992,4
spotify:track:59cgEoNbNjGpa6xBBwkhF2,"Sweeter Than Sweet (featuring Alice Carreri)","Bless you","Lulu Rouge",2008-06-09,270453,27,false,sartoip888,2022-06-13T13:54:29Z,"dub techno","Music For Dreams",0.534,0.45,1,-12.372,1,0.121,0.245,0.0174,0.11,0.141,119.911,4
spotify:track:6b7ID4frdd828kmL16eIc7,"Give It Up","Songs to Love and Die By","8mm",2006-09-26,388920,39,false,sartoip888,2022-06-13T13:59:09Z,"trip hop","ChelseaGirl Records",0.581,0.811,11,-5.645,0,0.0295,0.000473,0.466,0.099,0.131,107.476,4
