Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0LespiIDUQjdg9yFdGpgRg,"I Tima","Liberetto II","Lars Danielsson;Tigran;John Parricelli;Magnus Öström;Mathias Eick",2014-08-29,267786,33,false,sartoip888,2020-12-09T23:47:21Z,"jazz,cool jazz,francuski jazz,jazz wokalny,bossa nova,nu jazz","ACT Music",0.59,0.0703,7,-15.587,0,0.0341,0.913,0.87,0.111,0.483,113.885,3
spotify:track:5rXJ6iWGWLEOBHGtdBvDlV,"Autumn Leaves","Summerwind","Lars Danielsson;Paolo Fresu",2018-09-28,237984,32,false,sartoip888,2020-12-09T23:47:04Z,"jazz,cool jazz","ACT Music",0.37,0.0548,7,-18.349,0,0.0385,0.974,0.112,0.0952,0.376,65.25,4
spotify:track:5EzGOkUwkRUXYAyvjlEHah,"True Sorry","Illusions","Ibrahim Maalouf",2013-11-05,291303,52,false,sartoip888,2020-12-09T23:42:07Z,"francuski jazz,jazz","Mi'ster",0.288,0.454,4,-7.639,0,0.0369,0.585,0.882,0.177,0.0792,123.143,4
spotify:track:4bfNXfkNSIhk0XLpZ2MC2q,"All I Can't Say - Duo Version","40 Melodies","Ibrahim Maalouf;Sting",2020-11-06,191000,23,false,sartoip888,2020-12-09T23:43:35Z,"francuski jazz,jazz,soft rock","Mi'ster",0.535,0.123,4,-16.273,0,0.0377,0.98,0.917,0.0874,0.37,76.025,4
spotify:track:1zb2Jn4lYn15sVBpNkxNZy,"The Old Man","Songs for the Old Man","Yom",2015,313080,37,false,sartoip888,2020-12-09T23:44:43Z,"","Buda musique",0.51,0.204,2,-13.818,0,0.0402,0.948,0.904,0.11,0.0984,121.336,4
spotify:track:4dmpNeoiu2E3MJQGBSF8QW,"Will Soon Be a Woman","Diagnostic (Version remasterisée)","Ibrahim Maalouf",2011-10-26,331000,33,false,sartoip888,2020-12-09T23:46:04Z,"francuski jazz,jazz","Mi'ster",0.236,0.369,4,-13.608,0,0.031,0.875,0.915,0.0707,0.124,67.438,3
spotify:track:0Sy2FEb4SM0EEZZPCZTolt,"Beirut","Diagnostic (Version remasterisée)","Ibrahim Maalouf",2011-10-26,639000,41,false,sartoip888,2020-12-09T23:43:00Z,"francuski jazz,jazz","Mi'ster",0.26,0.218,7,-10.849,0,0.0353,0.673,0.942,0.116,0.0547,64.012,5
spotify:track:2t5GyUfFoZg3E8ak3i7dVP,"Maggot Brain","Maggot Brain","Funkadelic",1971-07-12,621106,0,false,sartoip888,2020-12-09T23:49:22Z,"funk,funk rock","Westbound Records Inc.",0.301,0.353,4,-15.588,0,0.0467,0.778,0.489,0.406,0.189,134.588,3
spotify:track:7k3YrlUP1DxGe802jjuT1L,"Yègellé Tezeta","New York - Addis - London: The Story of Ethio Jazz 1965-1975","Mulatu Astatke",1969,194293,0,false,sartoip888,2020-12-09T23:56:14Z,"etiopski jazz","Strut",0.839,0.233,3,-13.539,1,0.0414,0.745,0.746,0.105,0.778,125.597,4
spotify:track:1nhrpyC8ppLJTIqM6FZTit,"The Law and The Fist","Komeda","Krzysztof Komeda;Leszek Możdżer",2011-06-24,657306,28,false,sartoip888,2020-12-09T23:47:55Z,"free jazz,jazz","ACT Music",0.355,0.0729,2,-21.715,0,0.0429,0.99,0.92,0.222,0.161,102.813,4
spotify:track:3K6Rdor7g4sR7ww2HKUmli,"Mantra (Live, Fillmore West, Dec. 69)","Epitaph (Live, 1969)","King Crimson",2018-09-28,225533,0,false,sartoip888,2020-12-09T23:49:35Z,"rock progresywny,art rock,rock psychodeliczny","Discipline Global Mobile",0.359,0.103,11,-25.05,0,0.0425,0.762,0.869,0.402,0.147,110.736,4
spotify:track:3jNGLTOcA4a34rZD2y392C,"Bourée","Repeat - The Best of Jethro Tull, Vol. II","Jethro Tull",1990-07-01,226506,42,false,sartoip888,2020-12-09T23:50:16Z,"rock progresywny,art rock,rock klasyczny","Parlophone UK",0.522,0.275,0,-14.005,1,0.0511,0.371,0.873,0.219,0.555,115.327,4
spotify:track:1FRlNrHd4OGNIEVgFuX9Fu,"Disposition","Lateralus","TOOL",2001-05-15,286266,53,false,sartoip888,2020-12-09T23:50:59Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.683,0.228,9,-18.027,1,0.0451,0.061,0.845,0.114,0.193,117.165,5
