Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6z1oSXZmkwjAUXQ60eqf9e,"The Desert, Pt. 2","Chaos","René Aubry",2017-05-26,125386,39,false,sartoip888,2022-11-07T17:53:33Z,"","Music Box Publishing",0.612,0.358,10,-11.944,1,0.0343,0.798,0.889,0.114,0.391,109.968,3
spotify:track:15qTTqTKYsqJRhz5GN5xLP,"Refugee","Laughter Through Tears","Oi Va Voi",2003-09-29,217693,41,false,sartoip888,2022-11-07T17:55:18Z,"trip hop","Outcaste Records",0.394,0.664,4,-8.213,0,0.0357,0.398,0.00439,0.201,0.242,129.822,4
spotify:track:6KEHFUrIiZ6ZGInejwAWbF,"To Let Myself Go","A Temporary Dive","Ane Brun",2005-02-07,199626,0,false,sartoip888,2022-11-07T22:42:57Z,"","Balloon Ranger Recordings AB",0.547,0.191,7,-15.585,0,0.0314,0.939,0.139,0.105,0.153,108.941,4
spotify:track:4KJHTdyIUdhKEuZdV3UuWR,"Séduction","Forget Me Not","René Aubry",2013-09-02,281666,47,false,sartoip888,2022-11-07T17:54:06Z,"","René Aubry",0.583,0.193,6,-17.436,0,0.0413,0.989,0.928,0.108,0.401,100.003,4
spotify:track:0uq0ibSGT4AwiVLLZGs9Qm,"Cuatro Vientos - Rey&Kjavik Remix","Cuatro Vientos (Rey&Kjavik Remix)","Danit;Rey&Kjavik",2018-01-26,412682,0,false,sartoip888,2022-11-07T18:04:33Z,"organic house,tribal house","RKJVK",0.662,0.327,1,-15.896,0,0.0466,0.8,0.727,0.0975,0.394,163.981,4
spotify:track:28tkw4WyvYuuJUD3RPJCoO,"Dusty Road","Travelling The Face Of The Globe","Oi Va Voi",2009-06-08,197493,25,false,sartoip888,2022-11-07T17:56:10Z,"trip hop","Oi Va Voi Recordings",0.662,0.554,9,-8.658,0,0.0276,0.0844,0.00507,0.288,0.445,94.997,4
spotify:track:7wqaANzZIHR4sxgvt8eGLN,"One Hundred Lights - Grouch Remix","Firedance Remixes EP","Kaya Project;Grouch",2014-05-27,336923,34,false,sartoip888,2022-11-07T18:02:02Z,"downtempo,psytrance,dub","Tribal Shift Records",0.671,0.695,10,-7.056,0,0.0468,0.346,0.924,0.103,0.236,100.005,4
spotify:track:2wo3eTw0zf3DoVFJonbUyT,"Dr. Vinklestein Says","Carnival Of Peculiarities","Shpongle",2021-03-05,397419,24,false,sartoip888,2022-11-07T19:56:03Z,"psytrance,downtempo","Twisted Records Ltd",0.468,0.917,4,-7.073,0,0.0481,0.00529,0.877,0.16,0.411,94.969,4
spotify:track:17KTNaAmbY9tLeOXoKpGLk,"Bird’s Teardrops","Anthology, Vol. I & Vol. II (Live)","Estas Tonne;Peia",2021-06-18,275407,0,false,sartoip888,2022-11-07T20:40:13Z,"","Estas Tonne",0.406,0.354,4,-11.101,0,0.0282,0.865,0.916,0.117,0.139,95.609,4
spotify:track:1xJvn7nufiBc8A5isZxwGs,"Tcheren Deya","My Mongolia","Mathias Duplessy",2012,192429,40,false,sartoip888,2022-11-20T00:49:39Z,"","Absilone Duplessy",0.652,0.399,4,-11.03,0,0.0274,0.718,0.0178,0.118,0.276,105.206,4
spotify:track:6HyVbwqKJNkHjPysz6DocV,"Silence","Homeland","Hindi Zahra",2015-04-13,265573,41,false,sartoip888,2022-11-19T23:53:07Z,"tango","Oursoul Records",0.753,0.797,1,-8.481,1,0.0632,0.451,0.0546,0.0882,0.933,130.02,4
spotify:track:2hpNbfe4v86MTGrlBuByLn,"Ederlezi","Usztijo","Dikanda",2004-04-01,537426,32,false,sartoip888,2022-11-20T00:47:43Z,"","Dikanda",0.507,0.237,9,-12.504,0,0.0464,0.581,0.00796,0.101,0.152,142.422,4
spotify:track:4sXOUHJG0ZHOu943y2YiLB,"Sombaraï","My Mongolia","Mathias Duplessy",2012,205125,35,false,sartoip888,2022-11-20T00:52:33Z,"","Absilone Duplessy",0.665,0.789,6,-7.728,1,0.074,0.709,0.00108,0.0904,0.822,102.291,4
spotify:track:78GRDlChJsiHKxnYkVHSut,"Brothers in Arms","Brothers of String","Mathias Duplessy;The Violins of the World",2020-01-24,353989,25,false,sartoip888,2022-11-20T01:16:56Z,"","Duplessy / Absilone",0.416,0.26,8,-9.069,0,0.0307,0.851,0.0715,0.133,0.307,80.079,4
