Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0cqLFzFYsQurUI3McUZkLg,"Wonderful Life","Wonderful Life","Katie Melua",2015-08-28,247152,0,false,sartoip888,2021-07-08T11:22:40Z,"","BMG Rights Management (UK) Ltd.",0.904,0.341,6,-12.088,0,0.0417,0.792,0.021,0.0977,0.447,105.179,4
spotify:track:5vmRQ3zELMLUQPo2FLQ76x,"Smalltown Boy","The Age of Consent","Bronski Beat",1984-10-15,302413,77,false,sartoip888,2021-07-08T08:21:38Z,"synthpop,hi-nrg","London Records (Because Ltd)",0.685,0.584,5,-10.616,0,0.0276,0.29,0.01,0.124,0.94,134.546,4
spotify:track:69r6NNV09VANZZJjPzDEAn,"Technicolor Yawn","No Bad Days","The Dumplings",2014-05-06,140000,30,false,sartoip888,2021-07-08T09:05:57Z,"","Parlophone Poland",0.793,0.47,2,-11.62,1,0.0741,0.135,0.474,0.128,0.281,119.995,4
spotify:track:2s4BsyV3KhhrtsdtNfzoqb,"Back To Black","Back To Black","Amy Winehouse",2006-01-01,240440,0,true,sartoip888,2021-07-08T08:40:00Z,"","Universal Music Group",0.49,0.725,10,-3.304,1,0.0392,0.123,0.0000268,0.0983,0.335,123.28,4
spotify:track:0yK1An55fUL6ZgYzWqb3UX,"Mil pasos (feat. Antoine Essertier)","D'ici et d'ailleurs","Soha;Antoine Essertier",2008-02-08,246920,60,false,sartoip888,2021-07-08T08:40:29Z,"kizomba,tango,francuski house","Parlophone (France)",0.797,0.276,9,-8.689,0,0.108,0.292,0.00000586,0.111,0.519,80.011,4
spotify:track:1IycYHHYjKgxvB8AHCdu7O,"Open Road","Weight of Your World EP","Roo Panes",2012-12-14,258730,0,false,sartoip888,2021-07-08T08:52:19Z,"indie folk","CRC Music Group",0.564,0.455,5,-8.282,1,0.0369,0.807,0.000184,0.0832,0.305,132.196,4
spotify:track:0j1UrMlDlK3MBYlBdwewjJ,"Question","Stoppable Object Meets Movable Force","Ben Murray-Smith",2016-04-20,229434,14,false,sartoip888,2021-07-08T08:56:44Z,"","Ben Murray-Smith",0.692,0.419,2,-9.154,0,0.0266,0.134,0.571,0.0871,0.619,90.011,4
spotify:track:6t1ahr2f1t9iSjjNFwFb4C,"Jungle","Notion","Tash Sultana",2017-03-01,315602,1,false,sartoip888,2021-07-08T09:05:43Z,"","Lonely Lands Records",0.589,0.699,1,-5.883,0,0.0291,0.285,0.0000811,0.0881,0.496,145.997,4
spotify:track:2HL7EWAjEm5Bhpr1iWHA4C,"Cold Little Heart - Radio Edit","Cold Little Heart (Radio Edit)","Michael Kiwanuka",2017-02-24,210299,0,false,sartoip888,2021-07-08T09:05:50Z,"soul","Universal Music Group",0.638,0.574,7,-6.115,0,0.0263,0.316,0.000316,0.428,0.681,110.256,4
spotify:track:6Nl5jjykRxa7salssZ0aER,"Without You","Oh Wonder","Oh Wonder",2015-09-04,224740,0,false,sartoip888,2021-07-08T09:13:47Z,"","Oh Wonder",0.637,0.476,11,-7.135,0,0.058,0.249,0.00000107,0.115,0.265,87.019,4
spotify:track:5BkNCuxzzid0gz9sx3NNbX,"My Silver Lining","Stay Gold","First Aid Kit",2014-06-06,215493,65,false,sartoip888,2021-07-08T09:22:31Z,"indie folk,folk","Columbia",0.479,0.725,2,-4.671,1,0.0335,0.026,0.000129,0.209,0.43,101.938,4
spotify:track:6fX7s3QNH9OWaISavemvcB,"We Are The People","Walking On A Dream","Empire Of The Sun",2009-02-23,267354,4,false,sartoip888,2021-07-08T10:41:51Z,"","Capitol",0.666,0.785,4,-5.37,0,0.0308,0.0981,0.0198,0.434,0.549,122.973,4
spotify:track:6zfczP87XO2SxWlQtnjFNa,"The Look","The English Riviera","Metronomy",2011-04-11,277653,72,false,sartoip888,2021-07-08T10:47:28Z,"new rave,dance alternatywny","Because Music Ltd.",0.638,0.535,9,-7.792,0,0.0415,0.623,0.0391,0.0837,0.504,84.947,4
spotify:track:6v86E1GhP4GieEUuIoX6Zv,"Slow Love","No Mythologies to Follow (Deluxe)","MØ",2014-04-21,217160,39,false,sartoip888,2021-07-08T10:51:30Z,"","Chess Club/RCA Victor",0.694,0.647,9,-7.346,0,0.0264,0.444,0.000127,0.0963,0.65,99.947,4
spotify:track:40QdVaXuZgxZ8vdoaFDNsL,"American Daydream","Mondo","Electric Guest",2012-04-23,168626,46,false,sartoip888,2021-07-08T11:26:48Z,"","Asa Taccone",0.666,0.473,5,-10.06,0,0.0454,0.154,0.00317,0.109,0.409,75.002,4
spotify:track:6nVEdIiB3h5b2TbQhFnQUk,"Get Free","Get Free","Major Lazer;Amber of Dirty Projectors",2012-05-21,289694,0,false,sartoip888,2021-07-08T11:32:42Z,"moombahton","Downtown Music",0.526,0.539,11,-9.456,0,0.061,0.121,0.127,0.121,0.797,176.081,4
spotify:track:2aibwv5hGXSgw7Yru8IYTO,"Snow (Hey Oh)","Stadium Arcadium","Red Hot Chili Peppers",2006-05-09,334666,80,false,sartoip888,2021-07-08T11:48:14Z,"funk rock,rock alternatywny,rock","Warner Records",0.427,0.9,11,-3.674,1,0.0499,0.116,0.0000175,0.119,0.599,104.655,4
spotify:track:0fBSs3fRoh1yJcne77fdu9,"Video Games","Born To Die - The Paradise Edition","Lana Del Rey",2012-01-01,281960,78,false,sartoip888,2021-07-08T11:50:52Z,"","Polydor Records",0.236,0.249,6,-9.595,0,0.0348,0.811,0.000001,0.087,0.181,72.847,5
